"caseId","docketId","caseIssuesId","voteId","dateDecision","decisionType","usCite","sctCite","ledCite","lexisCite","term","naturalCourt","chief","docket","caseName","dateArgument","dateRearg","petitioner","petitionerState","respondent","respondentState","jurisdiction","adminAction","adminActionState","threeJudgeFdc","caseOrigin","caseOriginState","caseSource","caseSourceState","lcDisagreement","certReason","lcDisposition","lcDispositionDirection","declarationUncon","caseDisposition","caseDispositionUnusual","partyWinning","precedentAlteration","voteUnclear","issue","issueArea","decisionDirection","decisionDirectionDissent","authorityDecision1","authorityDecision2","lawType","lawSupp","lawMinor","majOpinWriter","majOpinAssigner","splitVote","majVotes","minVotes"
"2009-006","2009-006-01","2009-006-01-01","2009-006-01-01-01",11/30/2009,2,"558 U.S. 30","130 S. Ct. 447","175 L. Ed. 2d 398","2009 U.S. LEXIS 8377",2009,1703,"Roberts","08-10537","GEORGE PORTER, JR. v. BILL MCCOLLUM, ATTORNEY GENERAL OF FLORIDA, et al.",,,215,,19,12,1,,,0,56,,31,,1,12,3,1,1,4,0,1,0,0,10020,1,2,0,7,,9,900,"NA",,111,1,9,0
"2009-007","2009-007-01","2009-007-01-01","2009-007-01-01-01",11/16/2009,2,"558 U.S. 15","130 S. Ct. 383","175 L. Ed. 2d 328","2009 U.S. LEXIS 8117",2009,1703,"Roberts","08-1263","ROBERT WONG, WARDEN v. FERNANDO BELMONTES, JR.",,,28,6,215,,1,,,0,49,,29,,1,12,4,2,1,4,0,1,0,0,20330,2,1,0,2,,2,214,"NA",,111,1,9,0
"2009-008","2009-008-01","2009-008-01-01","2009-008-01-01-01",11/9/2009,2,"558 U.S. 4","130 S. Ct. 13","175 L. Ed. 2d 255","2009 U.S. LEXIS 7976",2009,1703,"Roberts","09-144","DAVID BOBBY, WARDEN v. ROBERT J. VAN HOOK",,,28,41,126,,1,,,0,104,,26,,1,12,4,,1,4,0,1,0,0,20330,2,1,0,2,,1,148,"NA",,111,1,9,0
"2009-009","2009-009-01","2009-009-01-01","2009-009-01-01-01",10/20/2009,2,"558 U.S. 1","130 S. Ct. 8","175 L. Ed. 2d 1","2009 U.S. LEXIS 7479",2009,1703,"Roberts","08-10495","JOSEPH E. CORCORAN v. MARK LEVENHAGEN, SUPERINTENDENT, INDIANA STATE PRISON",,,215,,28,18,1,,,0,68,,27,,0,12,4,1,1,5,0,1,0,0,90340,9,2,0,3,,9,900,"NA",,111,1,9,0
"2009-010","2009-010-01","2009-010-01-01","2009-010-01-01-01",1/25/2010,6,"559 U.S. 32","130 S. Ct. 1316","175 L. Ed. 2d 966","2010 U.S. LEXIS 767",2009,1703,"Roberts","07-11191","MARK A. BRISCOE AND SHELDON A. CYPRESS v. VIRGINIA",1/11/2010,,137,,28,55,1,,,0,302,55,300,55,0,12,2,1,1,5,0,1,0,0,10270,1,2,0,7,,2,213,"NA",,111,1,9,0
"2009-011","2009-011-01","2009-011-01-01","2009-011-01-01-01",1/25/2010,1,"559 U.S. 1","130 S. Ct. 983","175 L. Ed. 2d 943","2010 U.S. LEXIS 768",2009,1703,"Roberts","08-969","HEMI GROUP, LLC AND KAI GACHUPIN v. CITY OF NEW YORK, NEW YORK",11/3/2009,,233,,3,37,1,,,0,96,,22,,0,12,7,2,1,4,0,1,0,0,80170,8,1,0,4,7,3,362,"NA",111,111,1,5,3
"2009-012","2009-012-01","2009-012-01-01","2009-012-01-01-01",1/21/2010,1,"558 U.S. 310","130 S. Ct. 876","175 L. Ed. 2d 753","2010 U.S. LEXIS 766",2009,1703,"Roberts","08-205","CITIZENS UNITED v. FEDERAL ELECTION COMMISSION",3/24/2009,9/9/2009,211,,343,,2,43,,1,55,,55,,0,1,1,2,2,7,0,1,1,0,30140,3,1,0,1,,2,200,"NA",106,111,1,5,4
"2009-013","2009-013-01","2009-013-01-01","2009-013-01-01-01",1/20/2010,1,"558 U.S. 290","130 S. Ct. 841","175 L. Ed. 2d 738","2010 U.S. LEXIS 763",2009,1703,"Roberts","08-9156","HOLLY WOOD, PETITIONER v. RICHARD F. ALLEN, COMMISSIONER, ALABAMA DEPARTMENT OF CORRECTIONS, et al.",11/4/2009,,126,,28,1,1,,,0,41,,31,,1,2,7,1,1,2,0,0,0,0,10020,1,1,0,4,,3,341,"NA",113,111,1,7,2
"2009-014","2009-014-01","2009-014-01-01","2009-014-01-01-01",1/20/2010,1,"558 U.S. 256","130 S. Ct. 854","175 L. Ed. 2d 713","2010 U.S. LEXIS 765",2009,1703,"Roberts","138, Orig.","STATE OF SOUTH CAROLINA v. STATE OF NORTH CAROLINA",10/13/2009,,28,48,28,38,9,117,38,0,,,,,0,12,,0,1,6,0,1,0,0,110020,11,3,0,7,,9,900,"NA",112,103,1,5,4
"2009-015","2009-015-01","2009-015-01-01","2009-015-01-01-01",1/20/2010,1,"558 U.S. 233","130 S. Ct. 827","175 L. Ed. 2d 694","2010 U.S. LEXIS 764",2009,1703,"Roberts","08-911","AGRON KUCANA v. ERIC H. HOLDER, JR., ATTORNEY GENERAL",11/10/2009,,106,,1,,1,7,,0,27,,27,,1,2,9,1,1,4,0,1,0,0,20110,2,2,0,4,,3,344,"NA",109,111,1,9,0
