Docket,Term,Majority Votes,Predicted,Actual
12-414,2013,9.0,1,1
12-416,2012,5.0,0,1
12-417,2013,9.0,0,0
12-418,2012,7.0,1,1
12-43,2012,9.0,1,1
12-462,2013,9.0,1,1
12-464,2013,6.0,0,0
12-484,2012,5.0,1,1
12-515,2013,5.0,1,0
12-5196,2013,9.0,1,1
12-52,2012,9.0,0,0
12-536,2013,5.0,1,1
12-547,2012,9.0,1,1
12-562,2013,9.0,1,1
12-574,2013,9.0,1,1
12-609,2013,9.0,1,1
12-62,2012,5.0,1,1
12-682,2013,6.0,1,1
12-696,2013,5.0,1,1
12-71,2012,7.0,0,0
12-729,2013,9.0,0,0
12-751,2013,9.0,1,1
12-7515,2013,9.0,1,1
12-761,2013,8.0,1,1
12-7822,2013,6.0,0,0
12-786,2013,9.0,1,1
12-79,2013,7.0,1,0
12-794,2013,6.0,1,1
12-815,2013,9.0,1,1
12-820,2013,9.0,0,0
12-842,2013,7.0,1,0
12-8561,2013,5.0,1,1
12-872,2013,9.0,1,1
12-873,2013,9.0,0,0
12-895,2013,7.0,0,1
12-9012,2013,9.0,1,0
12-929,2013,9.0,1,1
12-930,2013,5.0,1,1
12-9490,2013,5.0,1,0
12-96,2012,5.0,1,1
12-98,2012,6.0,0,0
12-99,2013,6.0,1,1
12-992,2013,9.0,1,1
13-1010,2014,9.0,0,0
13-1019,2014,9.0,1,1
13-1032,2014,9.0,1,1
13-1034,2014,7.0,1,1
13-115,2013,9.0,1,1
13-1174,2014,9.0,1,1
13-1175,2014,5.0,1,0
13-1211,2014,9.0,0,0
13-1314,2014,5.0,1,0
13-132,2013,9.0,1,1
13-1333,2014,9.0,0,0
13-1352,2014,9.0,1,1
13-1371,2014,5.0,0,0
13-1402,2014,5.0,1,1
13-1487,2014,9.0,1,1
13-1499,2014,5.0,1,0
13-193,2013,9.0,1,1
13-212,-1,9.0,1,0
13-271,2014,7.0,1,1
13-298,2013,9.0,0,0
13-299,2013,9.0,1,0
13-301,2013,9.0,0,1
13-316,2013,9.0,0,0
13-317,2013,9.0,0,1
13-339,2013,7.0,1,1
13-352,2014,7.0,1,1
13-354,2013,5.0,1,0
13-369,2013,9.0,1,1
13-433,2014,9.0,1,1
13-435,2014,9.0,0,1
13-461,2013,6.0,1,1
13-483,2013,9.0,1,1
13-502,2014,9.0,1,1
13-517,2014,9.0,0,0
13-534,2014,6.0,0,0
13-550,2014,9.0,1,1
13-553,2014,5.0,1,1
13-604,2014,8.0,1,0
13-628,2014,6.0,1,0
13-6827,2014,9.0,1,1
13-684,2014,9.0,1,1
13-7120,2014,8.0,1,1
13-719,2014,5.0,1,1
13-7211,2014,6.0,1,1
13-7451,2014,5.0,1,1
13-854,2014,7.0,1,1
13-894,2014,7.0,1,0
13-895,2014,5.0,0,1
13-9026,2014,9.0,1,0
13-935,2014,6.0,1,1
13-975,2014,6.0,1,1
13-983,2014,8.0,1,1
13-9972,2014,6.0,1,1
"132, Orig.",2009,6.0,0,0
134 ORIG,2007,5.0,0,0
"137, Orig.",2010,7.0,0,0
"138, Orig.",2009,5.0,1,1
14-103,2014,6.0,0,0
14-114,2014,6.0,0,0
14-15,2014,5.0,1,1
14-86,2014,8.0,0,1
